epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.768,1.98304,2.97327,1.30375,0.65709,0.63264,0.68663,0.29992,1.84814,1.72839,1.2186,0.00033209,0.00033209,0.00033209
2,451.021,1.65606,1.28027,1.1399,0.79088,0.76028,0.79489,0.34462,1.92656,1.2073,1.27938,0.00066526,0.00066526,0.00066526
3,818.153,1.60412,1.15127,1.13139,0.81626,0.76323,0.84224,0.3753,1.86686,1.18676,1.25726,0.000997781,0.000997781,0.000997781
4,1171.47,1.56382,1.05643,1.11193,0.78946,0.76026,0.8053,0.30986,2.09325,1.28994,1.33927,0.000997803,0.000997803,0.000997803
5,1455.84,1.52337,0.99516,1.09032,0.8888,0.81217,0.87607,0.42718,1.79438,1.02108,1.22469,0.000996097,0.000996097,0.000996097
6,1724.65,1.4931,0.92899,1.07928,0.8679,0.78519,0.83927,0.40284,1.85635,1.09053,1.22342,0.000993906,0.000993906,0.000993906
7,2046.36,1.4726,0.9013,1.07576,0.92158,0.86964,0.92656,0.45277,1.75163,0.89117,1.19167,0.000991232,0.000991232,0.000991232
8,2346.65,1.43446,0.85799,1.0579,0.91316,0.87411,0.90754,0.43549,1.7564,0.85084,1.20383,0.000988079,0.000988079,0.000988079
9,2634.2,1.45046,0.83855,1.06278,0.91527,0.87892,0.92176,0.46299,1.73809,0.85169,1.19558,0.000984449,0.000984449,0.000984449
10,2934.67,1.40473,0.81069,1.04881,0.92056,0.86812,0.91782,0.45428,1.75295,0.83925,1.19264,0.000980345,0.000980345,0.000980345
11,3214.36,1.39368,0.7884,1.04506,0.91013,0.89954,0.92054,0.47748,1.70801,0.80931,1.17555,0.000975773,0.000975773,0.000975773
12,3538.06,1.35886,0.75995,1.03469,0.90293,0.87541,0.92664,0.45239,1.7721,0.84375,1.2054,0.000970736,0.000970736,0.000970736
13,3810.21,1.36009,0.75185,1.02787,0.93377,0.90639,0.94374,0.46338,1.76077,0.75943,1.19396,0.000965239,0.000965239,0.000965239
14,4169.18,1.32885,0.72827,1.02312,0.93305,0.88235,0.93236,0.4694,1.73949,0.79744,1.18313,0.000959289,0.000959289,0.000959289
15,4432.85,1.3624,0.73818,1.03278,0.92701,0.90494,0.93027,0.47038,1.7178,0.75446,1.18406,0.000952889,0.000952889,0.000952889
16,4685.58,1.30513,0.70625,1.01643,0.91455,0.91165,0.94031,0.4719,1.71423,0.76782,1.1753,0.000946048,0.000946048,0.000946048
17,5024.98,1.32428,0.70486,1.0204,0.9273,0.91459,0.94082,0.499,1.69512,0.74954,1.1668,0.000938772,0.000938772,0.000938772
18,5336.27,1.29295,0.68715,1.01525,0.93687,0.90144,0.93653,0.45351,1.79709,0.76063,1.20884,0.000931067,0.000931067,0.000931067
19,5627.09,1.30091,0.69037,1.01303,0.93775,0.90275,0.93066,0.4703,1.70881,0.74717,1.16387,0.000922942,0.000922942,0.000922942
20,5908.75,1.27655,0.67776,1.00443,0.93582,0.90337,0.93434,0.46108,1.72093,0.75584,1.17198,0.000914405,0.000914405,0.000914405
21,6238.79,1.26813,0.66205,1.00314,0.948,0.92592,0.95717,0.50451,1.67158,0.70897,1.15872,0.000905463,0.000905463,0.000905463
22,6498.54,1.26351,0.65806,1.00177,0.93147,0.91493,0.94247,0.48542,1.70245,0.71786,1.16569,0.000896127,0.000896127,0.000896127
23,6820.61,1.26532,0.65224,0.99758,0.93077,0.92411,0.94276,0.44485,1.76625,0.728,1.19017,0.000886404,0.000886404,0.000886404
24,7109.49,1.25405,0.65008,0.99975,0.95679,0.90956,0.95463,0.47159,1.70359,0.71776,1.16747,0.000876305,0.000876305,0.000876305
25,7430.2,1.25983,0.64555,0.99818,0.93425,0.93045,0.95629,0.50531,1.67531,0.69039,1.15594,0.000865839,0.000865839,0.000865839
26,7708.54,1.25266,0.63672,0.99684,0.94586,0.91811,0.94511,0.43603,1.76282,0.70055,1.18857,0.000855018,0.000855018,0.000855018
27,8005.34,1.23744,0.63997,0.99305,0.93227,0.92861,0.95079,0.50293,1.68356,0.69808,1.15684,0.000843851,0.000843851,0.000843851
28,8287.51,1.21057,0.61703,0.98756,0.96492,0.91406,0.95588,0.48114,1.715,0.68704,1.16415,0.000832349,0.000832349,0.000832349
